code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;1012;1465;303;54;2834;57;3
00AB;BarkingandDagenham;1520;52376;2548;3577;60021;3028;192
00AC;Barnet;4519;127677;3531;5444;141171;3251;115
00AD;Bexley;2125;94887;4235;6441;107688;3532;257
00AE;Brent;4430;79653;6054;4081;94218;2826;56
00AF;Bromley;3297;137039;4088;7766;152190;3097;235
00AG;Camden;6582;39557;3037;1475;50651;1469;81
00AH;Croydon;3455;124512;4288;6657;138912;4149;204
00AJ;Ealing;5353;102061;4636;5064;117114;3287;149
00AK;Enfield;2840;107860;4859;6727;122286;3546;138
00AL;Greenwich;1234;67514;2155;3666;74569;3592;235
00AM;Hackney;969;35606;1520;2205;40300;2248;109
00AN;HammersmithandFulham;2036;38034;1575;1422;43067;1348;115
00AP;Haringey;1302;54838;1962;3013;61115;2211;85
00AQ;Harrow;2084;92416;2503;3668;100671;2152;92
00AR;Havering;2474;101979;4296;8423;117172;3654;209
00AS;Hillingdon;15647;110566;8464;6394;141071;3083;194
00AT;Hounslow;3990;85145;3277;4235;96647;2817;164
00AU;Islington;1167;32005;1234;1764;36170;1978;106
00AW;KensingtonandChelsea;1411;39458;726;1069;42664;854;52
00AX;KingstonuponThames;1121;61358;2678;2915;68072;1127;131
00AY;Lambeth;1602;56626;1961;2768;62957;2287;116
00AZ;Lewisham;1347;67822;1898;3861;74928;3020;153
00BA;Merton;3681;64491;2989;3299;74460;1641;99
00BB;Newham;1684;54379;1908;3066;61037;3543;157
00BC;Redbridge;2503;94079;2543;5231;104356;3519;126
00BD;RichmonduponThames;1618;73319;1257;2537;78731;1181;104
00BE;Southwark;2075;50524;2465;2726;57790;3752;185
00BF;Sutton;1572;79707;2989;5296;89564;1922;120
00BG;TowerHamlets;1887;35461;3107;2402;42857;2027;115
00BH;WalthamForest;1779;68828;2436;4637;77680;2991;95
00BJ;Wandsworth;2038;74683;2432;2714;81867;1985;102
00BK;Westminster;5303;43614;1611;1425;51953;1611;562
;UnknownBorough;110;445;97;33;685;40;3
;;;;;;;;
H;London;95767;2349984;95662;126055;2667468;82825;4859
