code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;958;1458;345;52;2813;58;6
00AB;BarkingandDagenham;1527;54116;2635;3529;61807;2993;224
00AC;Barnet;4412;129203;3638;5514;142767;3262;120
00AD;Bexley;2268;96757;4313;6470;109808;3505;291
00AE;Brent;4782;80741;6813;4087;96423;2846;70
00AF;Bromley;3305;138451;4139;7814;153709;3090;252
00AG;Camden;6833;39382;2950;1470;50635;1530;89
00AH;Croydon;3717;127256;4376;6751;142100;4100;215
00AJ;Ealing;5843;103383;4801;5168;119195;3268;147
00AK;Enfield;2761;109298;4950;6718;123727;3605;151
00AL;Greenwich;1292;69246;2246;3729;76513;3576;242
00AM;Hackney;1031;36493;1473;2132;41129;2310;112
00AN;HammersmithandFulham;2107;38017;1577;1375;43076;1352;139
00AP;Haringey;1327;55361;2010;3060;61758;2273;92
00AQ;Harrow;2114;93590;2622;3674;102000;2163;100
00AR;Havering;2820;104335;4414;8482;120051;3572;249
00AS;Hillingdon;17491;113168;9329;6430;146418;3094;195
00AT;Hounslow;3894;86894;3283;4313;98384;2809;172
00AU;Islington;1320;32141;1413;1744;36618;2024;127
00AW;KensingtonandChelsea;1414;39076;777;1053;42320;881;55
00AX;KingstonuponThames;1170;61912;2987;3019;69088;1110;139
00AY;Lambeth;1589;57583;2128;2786;64086;2343;129
00AZ;Lewisham;1346;68978;1846;3867;76037;3021;174
00BA;Merton;3288;65438;3179;3345;75250;1642;106
00BB;Newham;1640;56388;2080;3081;63189;3545;156
00BC;Redbridge;2445;96062;2593;5153;106253;3461;132
00BD;RichmonduponThames;1423;73627;1278;2617;78945;1182;110
00BE;Southwark;1945;51002;2516;2697;58160;3786;202
00BF;Sutton;1549;81016;3183;5428;91176;1918;132
00BG;TowerHamlets;1853;36138;3258;2301;43550;2109;122
00BH;WalthamForest;1893;69970;2479;4622;78964;2925;114
00BJ;Wandsworth;1920;74730;2548;2690;81888;1962;106
00BK;Westminster;5140;43166;1727;1392;51425;1633;584
;UnknownBorough;65;374;94;30;563;34;3
;;;;;;;;
H;London;98482;2384750;100000;126593;2709825;82982;5257
