code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;963;1431;320;48;2762;58;6
00AB;BarkingandDagenham;1601;56824;2757;3589;64771;2863;230
00AC;Barnet;4699;131072;4021;5618;145410;3255;122
00AD;Bexley;2237;98159;4456;6356;111208;3341;288
00AE;Brent;5191;82754;7282;4160;99387;2875;76
00AF;Bromley;3588;139841;4353;7766;155548;3004;253
00AG;Camden;6303;39306;2981;1497;50087;1521;96
00AH;Croydon;3728;130091;4754;7000;145573;3941;219
00AJ;Ealing;6215;105712;5142;5262;122331;3282;157
00AK;Enfield;2957;111453;5416;6801;126627;3590;151
00AL;Greenwich;1342;71220;2290;3774;78626;3433;263
00AM;Hackney;1064;37673;1458;2199;42394;2325;111
00AN;HammersmithandFulham;2264;38545;1618;1403;43830;1358;141
00AP;Haringey;1367;57043;2115;3097;63622;2281;100
00AQ;Harrow;2294;95187;2582;3716;103779;2108;108
00AR;Havering;2806;106654;4783;8566;122809;3440;245
00AS;Hillingdon;16902;115298;9485;6630;148315;3041;195
00AT;Hounslow;3830;88572;3348;4436;100186;2716;181
00AU;Islington;1459;32577;1529;1793;37358;2007;134
00AW;KensingtonandChelsea;1458;38684;816;1110;42068;896;64
00AX;KingstonuponThames;1170;62541;3137;3030;69878;1107;150
00AY;Lambeth;1619;59244;2053;2827;65743;2276;132
00AZ;Lewisham;1376;70863;1875;3915;78029;2982;180
00BA;Merton;3438;66665;3100;3390;76593;1622;110
00BB;Newham;1964;59695;2207;3098;66964;3504;166
00BC;Redbridge;2436;97812;2712;5139;108099;3357;126
00BD;RichmonduponThames;1370;73821;1295;2692;79178;1136;103
00BE;Southwark;1757;52265;2500;2718;59240;3000;193
00BF;Sutton;1631;81984;3421;5425;92461;1866;126
00BG;TowerHamlets;1866;37916;3241;2211;45234;2116;122
00BH;WalthamForest;2096;72028;2564;4619;81307;2825;114
00BJ;Wandsworth;2020;75310;2707;2718;82755;1973;112
00BK;Westminster;4787;42787;1823;1382;50779;1693;573
;UnknownBorough;68;379;69;25;541;33;5
;;;;;;;;
H;London;99866;2431406;104210;128010;2763492;80825;5352
