code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;1294;1436;320;47;3097;50;3
00AB;BarkingandDagenham;1544;51314;2410;3479;58747;3066;178
00AC;Barnet;5159;127171;3459;5423;141212;3201;106
00AD;Bexley;2044;93868;4121;6454;106487;3523;231
00AE;Brent;4349;79792;5473;4015;93629;2816;60
00AF;Bromley;3092;135655;3986;7696;150429;3130;222
00AG;Camden;6636;39855;3051;1551;51093;1445;74
00AH;Croydon;3382;123118;4080;6636;137216;4111;175
00AJ;Ealing;5213;101601;4423;5034;116271;3294;125
00AK;Enfield;2761;107054;4592;6701;121108;3523;122
00AL;Greenwich;1212;66682;2244;3629;73767;3665;197
00AM;Hackney;979;35502;1455;2197;40133;2243;94
00AN;HammersmithandFulham;2211;38072;1456;1415;43154;1346;111
00AP;Haringey;1345;55060;1943;3028;61376;2212;87
00AQ;Harrow;2231;91588;2449;3615;99883;2128;84
00AR;Havering;2490;100876;4176;8336;115878;3614;185
00AS;Hillingdon;15117;109127;8534;6390;139168;3039;182
00AT;Hounslow;3792;84518;3320;4135;95765;2794;144
00AU;Islington;1177;32050;1361;1770;36358;1913;87
00AW;KensingtonandChelsea;1560;40092;728;1101;43481;857;38
00AX;KingstonuponThames;1207;60977;2938;2906;68028;1131;114
00AY;Lambeth;1581;56366;1899;2770;62616;2290;101
00AZ;Lewisham;1328;67219;1930;3843;74320;3029;137
00BA;Merton;3654;63987;2888;3258;73787;1625;85
00BB;Newham;1672;54491;1850;3177;61190;3531;127
00BC;Redbridge;2466;93046;2472;5266;103250;3411;109
00BD;RichmonduponThames;1569;73019;1305;2515;78408;1163;89
00BE;Southwark;2043;50488;2362;2736;57629;4176;163
00BF;Sutton;1545;79112;2858;5201;88716;1980;99
00BG;TowerHamlets;1743;35042;3078;2312;42175;2004;104
00BH;WalthamForest;1876;68546;2434;4676;77532;2939;90
00BJ;Wandsworth;2101;75071;2393;2647;82212;1972;86
00BK;Westminster;5366;44384;1606;1460;52816;1631;510
;UnknownBorough;103;509;123;45;780;40;1
;;;;;;;;
H;London;95842;2336688;93717;125464;2651711;82892;4320
