code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;1296;1491;380;33;3200;33;2
00AB;BarkingandDagenham;1520;50901;2587;3842;58850;2967;148
00AC;Barnet;4135;126719;3486;5961;140301;2834;93
00AD;Bexley;3780;92898;6390;6884;109952;3185;200
00AE;Brent;3552;82640;4506;4656;95354;2552;52
00AF;Bromley;3167;134162;4417;7880;149626;2894;186
00AG;Camden;5647;42070;2724;1744;52185;1320;115
00AH;Croydon;3632;123046;4411;6956;138045;3549;137
00AJ;Ealing;4969;103589;4715;5814;119087;3029;96
00AK;Enfield;2802;108560;4706;7382;123450;3191;121
00AL;Greenwich;1339;67491;2406;4144;75380;3402;164
00AM;Hackney;1388;38534;1997;2643;44562;2102;70
00AN;HammersmithandFulham;2140;38718;1516;1587;43961;1257;46
00AP;Haringey;1437;58823;2330;3493;66083;2031;42
00AQ;Harrow;2275;91936;2861;4115;101187;2026;77
00AR;Havering;2184;99723;4273;8917;115097;3471;141
00AS;Hillingdon;14203;107820;7111;6786;135920;2733;136
00AT;Hounslow;4082;84322;3380;4398;96182;2579;89
00AU;Islington;1484;34187;1458;2133;39262;1751;53
00AW;KensingtonandChelsea;1590;42482;810;1397;46279;827;38
00AX;KingstonuponThames;1362;60776;2606;3111;67855;1005;78
00AY;Lambeth;1745;59023;2132;3204;66104;2119;62
00AZ;Lewisham;1418;69813;2299;4212;77742;2901;122
00BA;Merton;3599;64236;2726;3514;74075;1462;59
00BB;Newham;1678;58337;2026;3861;65902;3330;97
00BC;Redbridge;2380;93639;2407;5844;104270;3237;86
00BD;RichmonduponThames;1781;72576;1510;2644;78511;1051;67
00BE;Southwark;2528;53750;3085;3148;62511;3204;837
00BF;Sutton;1527;78282;2676;5238;87723;1837;79
00BG;TowerHamlets;1775;37719;2997;2486;44977;1793;50
00BH;WalthamForest;1892;70527;2602;5328;80349;2708;98
00BJ;Wandsworth;2740;78404;2661;3031;86836;1824;65
00BK;Westminster;5915;47160;1604;1721;56400;1424;326
;;;;;;;;
H;London;96962;2374354;97795;138107;2707218;75628;4032
