code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;1428;1535;356;44;3363;25;2
00AB;BarkingandDagenham;1605;50824;2444;3773;58646;2962;121
00AC;Barnet;4285;126880;3732;5882;140779;2712;81
00AD;Bexley;3708;92779;6415;6714;109616;3114;167
00AE;Brent;3612;83266;4515;4606;95999;2531;55
00AF;Bromley;3402;133487;4326;7727;148942;2796;170
00AG;Camden;5730;42126;2706;1705;52267;1304;104
00AH;Croydon;3860;123525;5014;6899;139298;3458;124
00AJ;Ealing;5225;103615;4961;5794;119595;2960;71
00AK;Enfield;2957;108573;4631;7213;123374;3107;102
00AL;Greenwich;1415;67865;2566;4007;75853;3371;131
00AM;Hackney;1573;38796;2406;2661;45436;2003;60
00AN;HammersmithandFulham;2301;36777;1637;1568;42283;1211;45
00AP;Haringey;1489;59573;2520;3422;67004;2022;40
00AQ;Harrow;2436;91673;3049;3997;101155;1936;60
00AR;Havering;2475;99121;4362;8747;114705;3456;133
00AS;Hillingdon;28647;106825;7164;6688;149324;2696;116
00AT;Hounslow;12184;83512;5226;4356;105278;2494;81
00AU;Islington;1864;34416;1644;2138;40062;1730;42
00AW;KensingtonandChelsea;1638;43005;856;1438;46937;805;39
00AX;KingstonuponThames;1863;60511;2723;3057;68154;961;62
00AY;Lambeth;1708;59819;2211;3206;66944;2089;52
00AZ;Lewisham;1520;70198;2461;4142;78321;2887;101
00BA;Merton;3687;64339;2973;3414;74413;1459;48
00BB;Newham;1656;59228;2099;3919;66902;3269;90
00BC;Redbridge;2301;93202;2554;5716;103773;3176;79
00BD;RichmonduponThames;1897;72352;1566;2694;78509;1038;51
00BE;Southwark;2557;54614;3298;3077;63546;3175;144
00BF;Sutton;1622;78068;2815;5180;87685;1779;71
00BG;TowerHamlets;1964;37166;2836;2683;44649;1758;48
00BH;WalthamForest;1976;70714;2694;5216;80600;2691;97
00BJ;Wandsworth;14963;78471;7532;3034;104000;1801;64
00BK;Westminster;6544;47716;1801;1662;57723;1386;564
;;;;;;;;
H;London;136092;2374571;108093;136379;2755135;74162;3215
