code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;1305;1477;321;43;3146;45;2
00AB;BarkingandDagenham;1578;50984;2279;3602;58443;3075;153
00AC;Barnet;4915;127141;3387;5579;141022;3098;110
00AD;Bexley;2186;93068;4195;6551;106000;3536;239
00AE;Brent;4093;80636;5231;4245;94205;2822;58
00AF;Bromley;3076;134952;4124;7558;149710;3090;209
00AG;Camden;6284;40686;2833;1595;51398;1430;81
00AH;Croydon;3406;122659;4073;6494;136632;3991;163
00AJ;Ealing;5262;102397;4405;5232;117296;3203;113
00AK;Enfield;2784;107603;4450;6839;121676;3418;119
00AL;Greenwich;1252;66924;2315;3764;74255;3663;187
00AM;Hackney;1359;36325;1790;2330;41804;2169;74
00AN;HammersmithandFulham;2214;38664;1507;1457;43842;1325;93
00AP;Haringey;1358;56418;1961;3195;62932;2180;66
00AQ;Harrow;2322;91517;2628;3748;100215;2077;80
00AR;Havering;2506;99923;4223;8410;115062;3629;165
00AS;Hillingdon;14508;108147;8390;6429;137474;2962;164
00AT;Hounslow;3877;84166;3324;4188;95555;2744;131
00AU;Islington;1204;32912;1326;1870;37312;1919;67
00AW;KensingtonandChelsea;1512;40882;707;1146;44247;871;39
00AX;KingstonuponThames;1237;60690;3030;3018;67975;1099;105
00AY;Lambeth;1630;57103;1938;2855;63526;2276;81
00AZ;Lewisham;1234;67619;2056;3910;74819;3016;144
00BA;Merton;3566;63817;2865;3294;73542;1589;76
00BB;Newham;1628;55522;1902;3427;62479;3502;109
00BC;Redbridge;2375;93160;2409;5396;103340;3397;96
00BD;RichmonduponThames;1676;73003;1384;2482;78545;1138;82
00BE;Southwark;2118;51300;2582;2940;58940;3937;180
00BF;Sutton;1579;78494;2825;5126;88024;1930;85
00BG;TowerHamlets;1823;36105;3065;2326;43319;1955;87
00BH;WalthamForest;1868;68920;2416;4884;78088;2880;94
00BJ;Wandsworth;2170;76562;2368;2689;83789;1963;74
00BK;Westminster;5214;45533;1520;1522;53789;1593;421
;UnknownBorough;118;548;171;59;896;49;-
;;;;;;;;
H;London;95237;2345857;94000;128203;2663297;81571;3947
