code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;1261;1495;333;43;3132;40;3
00AB;BarkingandDagenham;1485;50926;2241;3801;58453;3013;154
00AC;Barnet;4242;127552;3414;5880;141088;2940;107
00AD;Bexley;3390;92739;5828;6770;108727;3333;243
00AE;Brent;3826;82078;5004;4634;95542;2698;55
00AF;Bromley;3146;134028;4345;7899;149418;2956;205
00AG;Camden;5683;41469;2673;1753;51578;1389;123
00AH;Croydon;3434;122813;4313;6902;137462;3750;151
00AJ;Ealing;5106;103035;4572;5753;118466;3104;111
00AK;Enfield;2695;108306;4594;7268;122863;3292;131
00AL;Greenwich;1287;67179;2405;3996;74867;3493;182
00AM;Hackney;1412;37669;1856;2560;43497;2151;72
00AN;HammersmithandFulham;2124;38765;1505;1561;43955;1275;50
00AP;Haringey;1351;57846;2127;3464;64788;2074;69
00AQ;Harrow;2295;91756;2739;3973;100763;2074;85
00AR;Havering;2398;99348;4244;8798;114788;3524;162
00AS;Hillingdon;14807;107783;7229;6837;136656;2837;152
00AT;Hounslow;3778;84284;3323;4456;95841;2687;127
00AU;Islington;1311;33757;1376;2049;38493;1846;60
00AW;KensingtonandChelsea;1569;41783;767;1304;45423;829;39
00AX;KingstonuponThames;1235;60671;2474;3158;67538;1068;98
00AY;Lambeth;1632;58161;2015;3170;64978;2202;69
00AZ;Lewisham;1288;68639;2213;4265;76405;2964;133
00BA;Merton;3716;64054;2823;3442;74035;1522;80
00BB;Newham;1656;57361;1991;3761;64769;3397;101
00BC;Redbridge;2281;93844;2428;5785;104338;3272;95
00BD;RichmonduponThames;1725;72925;1474;2685;78809;1097;71
00BE;Southwark;2129;52646;2769;3082;60626;3601;702
00BF;Sutton;1518;77967;2698;5359;87542;1885;80
00BG;TowerHamlets;1764;37169;3051;2395;44379;1891;72
00BH;WalthamForest;1766;69995;2580;5273;79614;2804;96
00BJ;Wandsworth;2427;77960;2620;2964;85971;1916;72
00BK;Westminster;5510;46423;1498;1692;55123;1481;355
;UnknownBorough;165;658;220;74;1117;56;2
;;;;;;;;
H;London;95412;2363084;95742;136806;2691044;78461;4307
